epoch,step,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse
0,0,0.0,297.1541748046875,0.0,297.6541748046875,0.0,367.3667297363281
0,106,233.6163787841797,205.60531616210938,234.1163787841797,206.10459899902344,0.0,253.61476135253906
1,212,183.28672790527344,183.40724182128906,183.78672790527344,183.90658569335938,299.7437744140625,227.0985107421875
2,318,158.0163116455078,167.87350463867188,158.5163116455078,168.37330627441406,240.8566436767578,208.0500946044922
3,424,180.21780395507812,159.30943298339844,180.71780395507812,159.80860900878906,221.4503631591797,198.87692260742188
4,530,134.0686492919922,153.3802490234375,134.5686492919922,153.8799285888672,208.04478454589844,194.65809631347656
5,636,176.08767700195312,139.82093811035156,176.58767700195312,140.31919860839844,195.99273681640625,176.78640747070312
6,742,151.7658233642578,133.95248413085938,152.2658233642578,134.45166015625,190.4046630859375,169.80821228027344
7,848,115.69644927978516,139.224609375,116.19644927978516,139.72378540039062,181.55923461914062,179.12384033203125
8,954,110.88584899902344,125.13542938232422,111.38584899902344,125.63420104980469,176.1334991455078,161.7548065185547
9,1060,151.49368286132812,126.07315063476562,151.99368286132812,126.57219696044922,169.9215087890625,160.4472198486328
10,1166,119.6002197265625,124.41925811767578,120.1002197265625,124.91846466064453,168.0389404296875,160.10623168945312
11,1272,110.72566986083984,114.23875427246094,111.22566986083984,114.73836517333984,162.7518310546875,147.51039123535156
12,1378,115.3138427734375,118.2596435546875,115.8138427734375,118.75922393798828,160.74740600585938,152.7359619140625
13,1484,84.8420639038086,112.60365295410156,85.3420639038086,113.10356903076172,155.400634765625,147.05618286132812
14,1590,135.68653869628906,112.4089126586914,136.18630981445312,112.90873718261719,155.1508026123047,147.39190673828125
