epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,train_mse,train_rmse,val_loss_epoch,val_loss_step,val_mae_epoch,val_mae_step,val_mse,val_rmse
0,9,,332.76898193359375,,333.26885986328125,,,,,,,,
0,19,,326.05267333984375,,326.55267333984375,,,,,,,,
0,29,,364.2616882324219,,364.7616882324219,,,,,,,,
0,39,,386.49273681640625,,386.99273681640625,,,,,,,,
0,49,,316.11260986328125,,316.61260986328125,,,,,,,,
0,59,,304.8851318359375,,305.3851318359375,,,,,,,,
0,69,,322.056884765625,,322.5567626953125,,,,,,,,
0,79,,331.060791015625,,331.560791015625,,,,,,,,
,0,,,,,,,,330.1690673828125,,330.6690673828125,,
,1,,,,,,,,321.193359375,,321.693359375,,
,2,,,,,,,,365.532470703125,,366.032470703125,,
,3,,,,,,,,322.2466125488281,,322.7466125488281,,
,4,,,,,,,,372.38336181640625,,372.88336181640625,,
,5,,,,,,,,307.80560302734375,,308.3039855957031,,
,6,,,,,,,,306.4035949707031,,306.9035949707031,,
,7,,,,,,,,288.48553466796875,,288.98553466796875,,
,8,,,,,,,,349.6163635253906,,350.1163635253906,,
,9,,,,,,,,340.67010498046875,,341.17010498046875,,
,10,,,,,,,,311.16302490234375,,311.66302490234375,,
0,87,,,,,,,328.7471618652344,,329.24700927734375,,167039.953125,407.8022766113281
0,87,333.8768615722656,,334.3766784667969,,171914.03125,413.2380065917969,,,,,,
1,89,,344.7067565917969,,345.2067565917969,,,,,,,,
1,99,,296.24517822265625,,296.74517822265625,,,,,,,,
1,109,,352.93658447265625,,353.43658447265625,,,,,,,,
1,119,,351.04522705078125,,351.53924560546875,,,,,,,,
1,129,,355.67901611328125,,356.17901611328125,,,,,,,,
1,139,,341.13897705078125,,341.63897705078125,,,,,,,,
1,149,,341.0495300292969,,341.5495300292969,,,,,,,,
1,159,,267.1916809082031,,267.6916809082031,,,,,,,,
1,169,,310.4765930175781,,310.9765930175781,,,,,,,,
,11,,,,,,,,326.7016906738281,,327.2016906738281,,
,12,,,,,,,,310.2760314941406,,310.7760314941406,,
,13,,,,,,,,359.416259765625,,359.916259765625,,
,14,,,,,,,,321.2106628417969,,321.7106628417969,,
,15,,,,,,,,363.0168151855469,,363.5168151855469,,
,16,,,,,,,,298.68115234375,,299.18115234375,,
,17,,,,,,,,306.06524658203125,,306.56524658203125,,
,18,,,,,,,,298.46673583984375,,298.96612548828125,,
,19,,,,,,,,351.38409423828125,,351.88409423828125,,
,20,,,,,,,,353.333984375,,353.833984375,,
,21,,,,,,,,304.66937255859375,,305.16937255859375,,
1,175,,,,,,,326.7192077636719,,327.2191162109375,,163348.65625,403.22216796875
1,175,326.5763244628906,,327.07574462890625,,163896.59375,403.5467529296875,,,,,,
2,179,,341.7180480957031,,342.21600341796875,,,,,,,,
2,189,,302.80963134765625,,303.30963134765625,,,,,,,,
2,199,,283.03070068359375,,283.53070068359375,,,,,,,,
2,209,,315.7708435058594,,316.2708435058594,,,,,,,,
2,219,,289.5968017578125,,290.0968017578125,,,,,,,,
2,229,,330.345458984375,,330.845458984375,,,,,,,,
2,239,,307.6888427734375,,308.1888427734375,,,,,,,,
2,249,,293.8649597167969,,294.3649597167969,,,,,,,,
2,259,,315.068359375,,315.568359375,,,,,,,,
,22,,,,,,,,313.3204040527344,,313.8204040527344,,
