epoch,step,train_loss,val_loss,train_mae,val_mae,train_rmse,val_rmse
0,0,0.0,592.1397705078125,0.0,592.6397705078125,0.0,671.7933349609375
0,125,260.6463928222656,303.4837951660156,261.1463928222656,303.9832458496094,0.0,366.97979736328125
1,250,255.83624267578125,261.95135498046875,256.33624267578125,262.449951171875,399.47711181640625,320.445068359375
2,375,226.96014404296875,220.94882202148438,227.46014404296875,221.44882202148438,338.10101318359375,270.27850341796875
3,500,219.4457244873047,202.98435974121094,219.9457244873047,203.48435974121094,289.1424255371094,251.33436584472656
4,625,198.71189880371094,190.96612548828125,199.21189880371094,191.4656219482422,253.83456420898438,236.4268798828125
5,750,196.60165405273438,188.8391876220703,197.10165405273438,189.33848571777344,233.63931274414062,235.53375244140625
6,875,190.08009338378906,165.16897583007812,190.58009338378906,165.66836547851562,221.24378967285156,203.79940795898438
7,1000,183.83575439453125,161.00430297851562,184.33575439453125,161.50381469726562,214.7224578857422,197.72476196289062
8,1125,180.29762268066406,165.3475341796875,180.79762268066406,165.84669494628906,210.1216278076172,205.37696838378906
9,1250,149.11866760253906,155.83877563476562,149.61866760253906,156.33824157714844,203.93765258789062,190.8223114013672
10,1375,129.9595489501953,150.88890075683594,130.4595489501953,151.38841247558594,201.83438110351562,189.4727325439453
11,1500,145.08180236816406,147.489990234375,145.58180236816406,147.98902893066406,198.68869018554688,183.96237182617188
12,1625,145.57460021972656,151.61138916015625,146.0721435546875,152.11033630371094,196.3768768310547,189.14405822753906
13,1750,137.53134155273438,154.69602966308594,138.02330017089844,155.1953582763672,192.60635375976562,195.15475463867188
14,1875,112.1349105834961,141.8455047607422,112.6349105834961,142.3451385498047,188.3367462158203,177.0287628173828
15,2000,142.54965209960938,140.46405029296875,143.04965209960938,140.96322631835938,188.44781494140625,175.7361297607422
16,2125,105.44950866699219,140.69931030273438,105.94950866699219,141.19857788085938,188.50193786621094,177.76266479492188
17,2250,120.24331665039062,136.8787384033203,120.74282836914062,137.3780975341797,182.4193115234375,175.04046630859375
18,2375,152.34963989257812,136.7855224609375,152.84963989257812,137.28500366210938,181.6613311767578,173.28077697753906
19,2500,150.12030029296875,152.2543182373047,150.61611938476562,152.75355529785156,181.73739624023438,193.0214080810547
20,2625,123.99910736083984,148.2431182861328,124.49910736083984,148.7422637939453,177.99630737304688,187.18153381347656
21,2750,115.05870056152344,150.5501708984375,115.55461883544922,151.0498504638672,175.734375,192.042724609375
22,2875,123.43954467773438,141.916748046875,123.93284606933594,142.41598510742188,174.9143524169922,180.6605682373047
23,3000,132.41014099121094,133.56820678710938,132.90992736816406,134.06739807128906,174.04444885253906,165.4355926513672
24,3125,122.23590087890625,149.8555908203125,122.73590087890625,150.35450744628906,172.8861541748047,190.25784301757812
25,3250,113.85103607177734,128.00003051757812,114.35103607177734,128.50001525878906,170.03109741210938,160.69058227539062
26,3375,120.75244140625,131.16009521484375,121.25244140625,131.65927124023438,171.37863159179688,162.07977294921875
27,3500,120.75660705566406,143.50494384765625,121.25660705566406,144.00465393066406,168.34727478027344,182.5827178955078
28,3625,132.29986572265625,134.913818359375,132.79541015625,135.4129180908203,167.3048553466797,170.0980224609375
29,3750,132.25254821777344,123.1792984008789,132.7510528564453,123.678466796875,167.82875061035156,157.8037567138672
