epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,train_mse,train_rmse,val_loss_epoch,val_loss_step,val_mae_epoch,val_mae_step,val_mse,val_rmse
0,9,,324.6969299316406,,325.189697265625,,,,,,,,
0,19,,332.9928283691406,,333.4928283691406,,,,,,,,
0,29,,305.8764953613281,,306.3764953613281,,,,,,,,
0,39,,354.07965087890625,,354.57965087890625,,,,,,,,
0,49,,299.6497802734375,,300.1497802734375,,,,,,,,
0,59,,296.80023193359375,,297.30023193359375,,,,,,,,
0,69,,316.53375244140625,,317.03375244140625,,,,,,,,
0,79,,313.6458740234375,,314.1458740234375,,,,,,,,
,0,,,,,,,,311.5721130371094,,312.0721130371094,,
,1,,,,,,,,292.1375427246094,,292.6375427246094,,
,2,,,,,,,,348.5787658691406,,349.0787658691406,,
,3,,,,,,,,296.4842834472656,,296.9842834472656,,
,4,,,,,,,,348.8660888671875,,349.3660888671875,,
,5,,,,,,,,284.4566650390625,,284.9566650390625,,
,6,,,,,,,,277.20904541015625,,277.70904541015625,,
,7,,,,,,,,279.7035827636719,,280.1963806152344,,
,8,,,,,,,,304.7865905761719,,305.2865905761719,,
,9,,,,,,,,330.78948974609375,,331.28948974609375,,
,10,,,,,,,,296.1142883300781,,296.6142883300781,,
0,87,,,,,,,306.4565124511719,,306.9558410644531,,142726.03125,376.7808532714844
0,87,321.5993957519531,,322.0987243652344,,158473.828125,396.9609680175781,,,,,,
1,89,,323.0450744628906,,323.5450744628906,,,,,,,,
1,99,,302.01043701171875,,302.51043701171875,,,,,,,,
1,109,,313.472900390625,,313.972900390625,,,,,,,,
1,119,,287.8543395996094,,288.3543395996094,,,,,,,,
1,129,,343.54693603515625,,344.04693603515625,,,,,,,,
1,139,,268.4060974121094,,268.9060974121094,,,,,,,,
1,149,,256.5721435546875,,257.0721435546875,,,,,,,,
1,159,,238.64967346191406,,239.14967346191406,,,,,,,,
1,169,,299.7435302734375,,300.2435302734375,,,,,,,,
,11,,,,,,,,302.70037841796875,,303.20037841796875,,
,12,,,,,,,,277.027587890625,,277.5198974609375,,
,13,,,,,,,,335.35400390625,,335.85400390625,,
,14,,,,,,,,263.2813720703125,,263.7813720703125,,
