epoch,step,train_loss_epoch,train_loss_step,train_mae_epoch,train_mae_step,train_mse,train_rmse,val_loss_epoch,val_loss_step,val_mae_epoch,val_mae_step,val_mse,val_rmse
0,9,,355.40423583984375,,355.90423583984375,,,,,,,,
0,19,,361.7532653808594,,362.2532653808594,,,,,,,,
0,29,,294.4200134277344,,294.9200134277344,,,,,,,,
0,39,,363.2436218261719,,363.7436218261719,,,,,,,,
0,49,,277.5096130371094,,278.0096130371094,,,,,,,,
0,59,,321.74615478515625,,322.24615478515625,,,,,,,,
0,69,,330.9671630859375,,331.4671630859375,,,,,,,,
0,79,,351.8203430175781,,352.3203430175781,,,,,,,,
0,89,,274.89068603515625,,275.39068603515625,,,,,,,,
0,99,,356.632568359375,,357.132568359375,,,,,,,,
0,109,,346.6928405761719,,347.1928405761719,,,,,,,,
0,119,,243.0609588623047,,243.5609588623047,,,,,,,,
,0,,,,,,,,327.06280517578125,,327.56280517578125,,
,1,,,,,,,,300.6295166015625,,301.129150390625,,
,2,,,,,,,,316.47698974609375,,316.97698974609375,,
,3,,,,,,,,311.93438720703125,,312.43438720703125,,
,4,,,,,,,,330.84613037109375,,331.3389892578125,,
,5,,,,,,,,291.30877685546875,,291.80877685546875,,
,6,,,,,,,,293.089111328125,,293.58892822265625,,
,7,,,,,,,,343.38092041015625,,343.88092041015625,,
,8,,,,,,,,266.07452392578125,,266.57452392578125,,
,9,,,,,,,,288.4954833984375,,288.9954833984375,,
,10,,,,,,,,293.9604187011719,,294.4604187011719,,
,11,,,,,,,,299.4848937988281,,299.9848937988281,,
,12,,,,,,,,289.9134216308594,,290.4134216308594,,
,13,,,,,,,,269.56182861328125,,270.06182861328125,,
,14,,,,,,,,327.2602844238281,,327.7602844238281,,
,15,,,,,,,,307.92724609375,,308.42724609375,,
0,124,,,,,,,303.4837951660156,,303.9832458496094,,135294.96875,366.97979736328125
0,124,324.86785888671875,,325.36737060546875,,160902.765625,399.47711181640625,,,,,,
1,129,,293.47552490234375,,293.97552490234375,,,,,,,,
1,139,,260.6722412109375,,261.1722412109375,,,,,,,,
1,149,,308.5425109863281,,309.0425109863281,,,,,,,,
1,159,,263.6964111328125,,264.19390869140625,,,,,,,,
1,169,,245.31655883789062,,245.81655883789062,,,,,,,,
1,179,,252.92950439453125,,253.42950439453125,,,,,,,,
1,189,,293.5350036621094,,294.0346984863281,,,,,,,,
1,199,,285.2137145996094,,285.7137145996094,,,,,,,,
1,209,,285.8433532714844,,286.3433532714844,,,,,,,,
1,219,,244.74378967285156,,245.23989868164062,,,,,,,,
1,229,,229.06436157226562,,229.56436157226562,,,,,,,,
1,239,,269.2049255371094,,269.7049255371094,,,,,,,,
1,249,,255.83624267578125,,256.33624267578125,,,,,,,,
,16,,,,,,,,281.0715026855469,,281.5715026855469,,
,17,,,,,,,,257.2351989746094,,257.7351989746094,,
,18,,,,,,,,252.6061553955078,,253.1022186279297,,
,19,,,,,,,,281.86163330078125,,282.36163330078125,,
,20,,,,,,,,303.1357116699219,,303.6288757324219,,
,21,,,,,,,,250.75303649902344,,251.25303649902344,,
,22,,,,,,,,255.64366149902344,,256.1436767578125,,
,23,,,,,,,,289.0250244140625,,289.5250244140625,,
,24,,,,,,,,232.43495178222656,,232.927978515625,,
,25,,,,,,,,244.7913818359375,,245.2913818359375,,
,26,,,,,,,,261.8494873046875,,262.3494873046875,,
,27,,,,,,,,246.3995361328125,,246.8995361328125,,
,28,,,,,,,,248.521240234375,,249.01754760742188,,
,29,,,,,,,,249.7633056640625,,250.2633056640625,,
,30,,,,,,,,279.6421203613281,,280.1421203613281,,
,31,,,,,,,,253.20889282226562,,253.70889282226562,,
1,249,,,,,,,261.95135498046875,,262.449951171875,,103111.3828125,320.445068359375
1,249,273.6672668457031,,274.1669006347656,,115070.4921875,338.10101318359375,,,,,,
2,259,,286.4783020019531,,286.9783020019531,,,,,,,,
2,269,,256.6568908691406,,257.15679931640625,,,,,,,,
2,279,,218.74427795410156,,219.24427795410156,,,,,,,,
2,289,,237.219482421875,,237.7143096923828,,,,,,,,
2,299,,230.6954345703125,,231.1954345703125,,,,,,,,
2,309,,248.8139190673828,,249.3123321533203,,,,,,,,
2,319,,256.91485595703125,,257.41485595703125,,,,,,,,
2,329,,215.8740234375,,216.3740234375,,,,,,,,
2,339,,200.02166748046875,,200.52166748046875,,,,,,,,
2,349,,201.5180206298828,,202.0180206298828,,,,,,,,
